概述,公司,职位类别,工作地点,招聘人数,最后发布时间,描述
隆基泰和·和心力管培生（商贸流通类）,隆基泰和集团—隆基泰和集团有限公司,外贸/贸易专员/助理,河北省,若干,2018-08-18, 一、职位简介“和心力”管培生是隆基泰和集团统一推行，致力于招募和培养总部和事业部核心管理者的校园招聘项目。隆基泰和希望同一群高知高能高潜的“和心力”为伴，为其提供一个长期的事业发展平台，使其发展为企业中高层核心管理者。招聘面向优秀高校的应届本科生、硕士研究生和博士研究生。招聘专业：工商管理、国际经济与贸易、物流管理等。二、培训与发展我们坚持从最优秀的高校招聘未来的中高层核心管理人才，其目标是将毕业生培养成精通业务的管理者，擅于创新的变革者和强于整合的组织者。三年培养周期内，将参与集团主导的12-13次培训，7次评估，业务和人力双导师护航，适时轮岗提升，直至达成目标。1年成长为主管，2-4年成长为中层经理，5年成长为总监。三、薪酬福利行业极具竞争力的薪资，完善的福利保障待遇，享受养老、失业、生育、工伤、医疗等社会保险及住房公积金，办理人事档案、党组织关系接收手续，享受饭费补助、话费补助、住房补助等多项福利补贴。根据岗位级别的不同，还可享受：福利购房、福利购车、投资参股、学历式深造、外出学习考察等政策。                       
新媒体运营岗,广东联通—梅州市分公司,市场营销专员/助理,梅州,若干,2018-08-18, 职位描述:1、协助进行企业文化建设规划。2、负责公司对内对外新闻宣传和宣传渠道管理工作。3、负责协调同各类媒体的公共关系和舆论监控工作。4、协助编写各类文件、材料。5、负责公司宣传队伍管理和培训。任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、通信类、计算机类、电子商务、新闻与传播等相关专业；3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有较强的进取心和责任感，具备良好的逻辑思维、问题分析、沟通表达和团队协作能力。                       
市场营销管理（高薪+晋升）,香港新依和—成都一公司,市场营销主管,成都-成华区,若干,2018-08-18, 本次招聘，主要针对2017-2018年年初成都拓展第三家公司，做人才储备，欢迎广大有想法，想在未来职业岗位上有大晋升的人，不甘于做一份安稳的工作，或者不安于现状的你，成都依和战队欢迎您的加入！【福利待遇】1、无责任底薪3000+提成（10%-35%）+奖金+补助，（你的能力决定了你的工资），达到经理级别，年薪20、30万。2、完善的养老、医疗、失业等社会保险。3、端午节、中秋节、生日等礼金的发放。4、在职带薪培训（集团统一拓展培训+在线培训），带薪休假，出国旅游学习机会等。5、定期团队活动（庆功会、公司旅游、体育活动等）。6、提供宿舍，宿舍设施齐全，距公司五分钟路程，绩效奖金，丰厚的年终奖等等。【职位要求】1、大专以上学历，管理类相关专业，吃苦耐劳，独立性强。2、具备较强的商务洽谈能力、沟通技巧和团队协作能力，有责任心，能承受较大的工作压力，务实的工作心态。3、愿意从基层做起，勇于挑战，愿意自我培养，挑战自我，挑战高薪，有上进心，有责任感，团队荣誉感，能够跟团队良好的合作.【职位描述】1、经几个月的轮岗实习（人事、行政、财务、销售等）了解企业文化和公司产品。2、充分了解公司，认同公司文化，熟悉公司市场，协助公司经理处理各种事务。3、协助销售人员负责公司产品的销售及推广，参与策划有关公司产品的相关市场活动。公司地址：成华区双林路388号富临大厦17-06室。四川电视塔对面。 乘车路线：乘坐20.341.8.80.61.106.237.在猛追湾街口站下；     乘坐5.6.89.101.106.1033在游泳池站下；  或乘坐地铁3/4号线至市二医院站下车。联系人：张经理  卢经理联系电话：028-83533780  14708066982 15102868464（同微信）集团官网：http://www.newyiho.com/                       
隆基泰和·和心力管培生（营销招商类）,隆基泰和集团—隆基泰和集团有限公司,招商专员,河北省,若干,2018-08-18, 一、职位简介“和心力”管培生是隆基泰和集团统一推行，致力于招募和培养总部和事业部核心管理者的校园招聘项目。隆基泰和希望同一群高知高能高潜的“和心力”为伴，为其提供一个长期的事业发展平台，使其发展为企业中高层核心管理者。招聘面向优秀高校的应届本科生、硕士研究生和博士研究生。招聘专业：专业不限。二、培训与发展我们坚持从最优秀的高校招聘未来的中高层核心管理人才，其目标是将毕业生培养成精通业务的管理者，擅于创新的变革者和强于整合的组织者。三年培养周期内，将参与集团主导的12-13次培训，7次评估，业务和人力双导师护航，适时轮岗提升，直至达成目标。1年成长为主管，2-4年成长为中层经理，5年成长为总监。三、薪酬福利行业极具竞争力的薪资，完善的福利保障待遇，享受养老、失业、生育、工伤、医疗等社会保险及住房公积金，办理人事档案、党组织关系接收手续，享受饭费补助、话费补助、住房补助等多项福利补贴。根据岗位级别的不同，还可享受：福利购房、福利购车、投资参股、学历式深造、外出学习考察等政策。                       
隆基泰和·和心力管培生（产业运营类）,隆基泰和集团—隆基泰和集团有限公司,产品运营,河北省,若干,2018-08-18, 一、职位简介“和心力”管培生是隆基泰和集团统一推行，致力于招募和培养总部和事业部核心管理者的校园招聘项目。隆基泰和希望同一群高知高能高潜的“和心力”为伴，为其提供一个长期的事业发展平台，使其发展为企业中高层核心管理者。招聘面向优秀高校的应届本科生、硕士研究生和博士研究生。招聘专业：产业经济学、工商管理等。二、培训与发展我们坚持从最优秀的高校招聘未来的中高层核心管理人才，其目标是将毕业生培养成精通业务的管理者，擅于创新的变革者和强于整合的组织者。三年培养周期内，将参与集团主导的12-13次培训，7次评估，业务和人力双导师护航，适时轮岗提升，直至达成目标。1年成长为主管，2-4年成长为中层经理，5年成长为总监。三、薪酬福利行业极具竞争力的薪资，完善的福利保障待遇，享受养老、失业、生育、工伤、医疗等社会保险及住房公积金，办理人事档案、党组织关系接收手续，享受饭费补助、话费补助、住房补助等多项福利补贴。根据岗位级别的不同，还可享受：福利购房、福利购车、投资参股、学历式深造、外出学习考察等政策。                       
市场营销助理,香港新依和—天津分公司,区域销售专员/助理,天津-河西区,3人,2018-08-18, 岗位职责：1 协助市场主管制定企业市场营销计划，营销政策，及市场发展战略，为重大营销决策提供建议和信息支持；2 在市场主管指导下协助维护已有市场开发渠道；3 编制与销售直接相关的广告宣传计划；4 根据公司发展战略对目标市场进行选择与研究，组织编制市场开发计划等；5 完成主管交代的其他日常工作。任职要求：1 专科及以上学历，市场营销及相关专业毕业；2 具有优秀资源整合能力和市场敏感度；3 了解本行业市场动向，市场环境分析，整合营销策划的能力；4 具有较好的组织协调能力，销售数据分析能力，和独立解决问题能力；5 具有良好的沟通技巧和团队建设能力，有较强的公关能力，应变能力，谈判能力。福利待遇：1.无责任底薪+奖金+高提成+免费培训+免费住宿+晋升空间=平均每月2000-4000元(你的能力决定了你的工资，达到经理级别年薪30-50万)；2.团队销售，如有出差公司提供报销；3.免费提供员工住宿，办理五险；4.提供定期培训，坚持一流的培训；5.提拔晋升空间大，为员工提供良好的职业发展平台（公司坚信基层做起，在内部提拔）。培训晋升制度市场营销助理-业务主管—业务高级主管—准副理-副理-经理联系地址：天津市河西区挂甲寺街道大沽南路857号国华大厦2008室（大沽南路与围堤街交叉口）乘车路线：乘坐地铁一号线到南楼站下车，公交车858路，677路，963路到南楼站下车集团官网：www.newyiho.com工作地址：天津市河西区挂甲寺街道大沽南路857号国华大厦2008室                       
业务支撑岗,广东联通—广州市分公司,通信技术工程师,广州,10人,2018-08-18, 职位描述:1、负责行业解决方案咨询服务、售前技术支持，完成解决方案的设计及优化，为客户进行方案宣讲、技术交流和产品演示等相关工作； 2、负责收集、分析并及时反馈所负责的行业客户的产品解决方案，协助行业经理有效调度各级共享资源，有效支撑销售工作。任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、通信工程、信息工程、光纤通信、电子信息、无线通信、无线电、自动化工程、电气工程、计算机等相关专业；3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有较强的进取心和责任感，具备良好的逻辑思维、问题分析、沟通表达和团队协作能力。                       
运维工程师,南京领添—南京总部,其他,南京-雨花台区,4人,2018-08-18, 岗位职责：  1）、负责公司各业务产品测试、生产环境的搭建部署及代码上线等工作；  2）、负责公司各业务产品基础和业务监控及定期巡检工作；  3）、负责公司各业务产品应急响应、故障排查等工作；  4）、完成领导部署的各项工作。任职资格：  1）、2019年毕业，本科及以上学历，计算机相关专业，或非计算机相关专业（但业余自修过计算机专业的所有必修课），英语四级及以上；  2）、熟悉linux操作系统，可以进行基础命令操作，会使用shell或者python编写脚本；  3）、了解互联网电商架构;  4）、熟悉TCP/IP等协议、具备WAN、LAN网络架设基础知识，并能对简单的网络故障进行定位分析；  5）、具有踏实的工作心态、良好的沟通能力和团队协作能力。                       
精密仪器,中船重工—河北汉光重工有限责任公司,科研人员,邯郸-丛台区,5人,2018-08-18, 从事对精密仪器科研开发工作。一、待遇：工资=基本工资+奖金+补贴+安家费1.博士研究生基本工资20000元/月，给予安家费72万元（按具体协议执行）2.硕士研究生基本工资12000元/月，给予安家费72万元（按具体协议执行）3.各类补贴月均1200元左右4.技术项目经理奖每月1500～2000元/月5.技术项目结项奖课题组2～20万元奖励6.年终奖根据年度工作情况综合考核奖励二、缴纳五险一金三、劳动合同签订期限  首次签订劳动合同1年，期满考核合格后，开始按6000元/月发放安家费，并签订无固定期限劳动合同。四、食宿条件1.提供单身宿舍：夏有空调，冬有暖气，独立卫生间2.职工餐厅：环境宽敞、明亮、干净、卫生联系人：李淑周    0310-7208707    13180531650        胡圣洁    0310-7208715    18232086055地址：河北省邯郸市经济技术开发区（东区）和谐大街8号联系邮箱：864937941@qq.com                       
隆基泰和·和心力管培生（财务管理类）,隆基泰和集团—隆基泰和集团有限公司,财务助理,河北省,若干,2018-08-18, 一、职位简介“和心力”管培生是隆基泰和集团统一推行，致力于招募和培养总部和事业部核心管理者的校园招聘项目。隆基泰和希望同一群高知高能高潜的“和心力”为伴，为其提供一个长期的事业发展平台，使其发展为企业中高层核心管理者。招聘面向优秀高校的应届本科生、硕士研究生和博士研究生。招聘专业：会计、财务管理等。二、培训与发展我们坚持从最优秀的高校招聘未来的中高层核心管理人才，其目标是将毕业生培养成精通业务的管理者，擅于创新的变革者和强于整合的组织者。三年培养周期内，将参与集团主导的12-13次培训，7次评估，业务和人力双导师护航，适时轮岗提升，直至达成目标。1年成长为主管，2-4年成长为中层经理，5年成长为总监。三、薪酬福利行业极具竞争力的薪资，完善的福利保障待遇，享受养老、失业、生育、工伤、医疗等社会保险及住房公积金，办理人事档案、党组织关系接收手续，享受饭费补助、话费补助、住房补助等多项福利补贴。根据岗位级别的不同，还可享受：福利购房、福利购车、投资参股、学历式深造、外出学习考察等政策。                       
计算机科学与技术,中船重工—河北汉光重工有限责任公司,科研人员,邯郸-丛台区,5人,2018-08-18, 从事计算机科学与技术科研开发工作。一、待遇：工资=基本工资+奖金+补贴+安家费1.博士研究生基本工资20000元/月，给予安家费72万元（按具体协议执行）2.硕士研究生基本工资12000元/月，给予安家费72万元（按具体协议执行）3.各类补贴月均1200元左右4.技术项目经理奖每月1500～2000元/月5.技术项目结项奖课题组2～20万元奖励6.年终奖根据年度工作情况综合考核奖励二、缴纳五险一金三、劳动合同签订期限  首次签订劳动合同1年，期满考核合格后，开始按6000元/月发放安家费，并签订无固定期限劳动合同。四、食宿条件1.提供单身宿舍：夏有空调，冬有暖气，独立卫生间2.职工餐厅：环境宽敞、明亮、干净、卫生联系人：李淑周    0310-7208707    13180531650              胡圣洁    0310-7208715    18232086055地址：河北省邯郸市经济技术开发区（东区）和谐大街8号联系邮箱：864937941@qq.com                       
电子与信息工程,中船重工—河北汉光重工有限责任公司,科研人员,邯郸-丛台区,5人,2018-08-18, 从事 电子与信息工程 科研开发工作。一、待遇：工资=基本工资+奖金+补贴+安家费1.博士研究生基本工资20000元/月，给予安家费72万元（按具体协议执行）2.硕士研究生基本工资12000元/月，给予安家费72万元（按具体协议执行）3.各类补贴月均1200元左右4.技术项目经理奖每月1500～2000元/月5.技术项目结项奖课题组2～20万元奖励6.年终奖根据年度工作情况综合考核奖励二、缴纳五险一金三、劳动合同签订期限  首次签订劳动合同1年，期满考核合格后，开始按6000元/月发放安家费，并签订无固定期限劳动合同。四、食宿条件1.提供单身宿舍：夏有空调，冬有暖气，独立卫生间2.职工餐厅：环境宽敞、明亮、干净、卫生联系人：李淑周    0310-7208707    13180531650              胡圣洁    0310-7208715    18232086055地址：河北省邯郸市经济技术开发区（东区）和谐大街8号联系邮箱：864937941@qq.com                       
新型业务运营,广东联通—广州市分公司,市场营销经理,广州,10人,2018-08-18, 职位描述:1、负责制定新型业务推广策略方案；2、负责新媒体平台活动账号管理及互动，提高粉丝数量且维持粉丝活跃度；3、负责策划并执行微博、微信、微网站营销线上及线下相关推广策划，跟踪推广效果，分析数据并反馈；4、提高公司新媒体关注度，对客户的网络行为进行分析与总结。任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、通信类、计算机类、电子商务、新闻与传播等相关专业；3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有较强的进取心和责任感，具备良好的逻辑思维、问题分析、沟通表达和团队协作能力。                       
行业产品经理,广东联通—广州市分公司,市场调研与分析,广州,40人,2018-08-18, 职位描述:1、从事产品市场调研，研究各类产品目标客户，策划业务合作模式，制订产品发展目标； 2、制订公司业务管理制度及各类产品发展规划，并整合公司各类业务，定期制作经营分析报告，提出业务资费、营销方案等建议； 3、重大客户的拓展，核心客户的客情关系维护；4、协调处理客户投诉；5、电子商务类项目的规划和研究，包括业务需求调研、可行性分析、项目申报等。任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、通信、计算机、市场营销等相关专业；3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有较强的进取心和责任感，具备良好的逻辑思维、问题分析、沟通表达和团队协作能力。                       
会计、财务管理,中船重工—河北汉光重工有限责任公司,会计/会计师,邯郸-丛台区,2人,2018-08-18, 从事会计、财务管理工作。一、待遇：工资=基本工资+奖金+补贴+安家费1.博士研究生基本工资20000元/月，给予安家费72万元（按具体协议执行）2.硕士研究生基本工资12000元/月，给予安家费72万元（按具体协议执行）3.各类补贴月均1200元左右4.技术项目经理奖每月1500～2000元/月5.技术项目结项奖课题组2～20万元奖励6.年终奖根据年度工作情况综合考核奖励二、缴纳五险一金三、劳动合同签订期限  首次签订劳动合同1年，期满考核合格后，开始按6000元/月发放安家费，并签订无固定期限劳动合同。四、食宿条件1.提供单身宿舍：夏有空调，冬有暖气，独立卫生间2.职工餐厅：环境宽敞、明亮、干净、卫生联系人：李淑周    0310-7208707    13180531650              胡圣洁    0310-7208715    18232086055地址：河北省邯郸市经济技术开发区（东区）和谐大街8号联系邮箱：864937941@qq.com                       
创新业务运营管理岗,广东联通—韶关市分公司,互联网产品专员/助理,韶关,2人,2018-08-18, 职位描述:1、负责O2O生态项目的运营管理，规划区县O2O生态运营模式；2、负责协同各区县O2O专员对王卡驿站运营管理，线上线下接入小程序引流；3、负责全市异业连锁战略联盟合作项目推动，通过红包运营打造异业连锁生态圈；4、负责各区县O2O团队的协同管理。任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、大数据、数理统计、数据挖掘、统计分析、计算机、市场营销等相关专业；3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有较强的进取心和责任感，具备良好的逻辑思维、问题分析、沟通表达和团队协作能力。                       
营销、证券,中船重工—河北汉光重工有限责任公司,审计专员/助理,邯郸-丛台区,2人,2018-08-18, 从事营销、证券相关管理工作。一、待遇：工资=基本工资+奖金+补贴+安家费1.博士研究生基本工资20000元/月，给予安家费72万元（按具体协议执行）2.硕士研究生基本工资12000元/月，给予安家费72万元（按具体协议执行）3.各类补贴月均1200元左右4.技术项目经理奖每月1500～2000元/月5.技术项目结项奖课题组2～20万元奖励6.年终奖根据年度工作情况综合考核奖励二、缴纳五险一金三、劳动合同签订期限  首次签订劳动合同1年，期满考核合格后，开始按6000元/月发放安家费，并签订无固定期限劳动合同。四、食宿条件1.提供单身宿舍：夏有空调，冬有暖气，独立卫生间2.职工餐厅：环境宽敞、明亮、干净、卫生联系人：李淑周    0310-7208707    13180531650        胡圣洁    0310-7208715    18232086055地址：河北省邯郸市经济技术开发区（东区）和谐大街8号联系邮箱：864937941@qq.com                       
技术研发岗,广东联通—广州市分公司,通信技术工程师,广州,10人,2018-08-18, 职位描述:（后端开发方向）：1、负责业务系统的架构设计；2、负责业务系统后台和API的开发与测试；3、负责业务系统的数据库设计、初级数据分析、基础性能调优；4、负责开发文档编写；（前端与移动应用开发方向）：1、负责业务系统的架构设计；2、负责业务系统前端Web应用、小程序、hybrid手机应用的开发与测试；3、负责企业内业务App的开发测试工作（IOS、Android）3、负责开发文档编写；任职要求:1、2019年全日制本科及以上学历应届大学毕业生；2、大数据、物联网、云计算、互联网、计算机科学与技术、计算机技术、软件工程、网络工程、数理统计、数据挖掘、信息与计算科学、计算机开发与应用等计算机类专业。3、专业基础扎实，综合成绩在专业或班级排名前30%；4、具有进取精神和责任感，具有良好的逻辑思维、问题分析能力。                       
隆基泰和·和心力管培生（工程管理类）,隆基泰和集团—隆基泰和集团有限公司,工程监理/质量管理,河北省,若干,2018-08-18, 一、职位简介“和心力”管培生是隆基泰和集团统一推行，致力于招募和培养总部和事业部核心管理者的校园招聘项目。隆基泰和希望同一群高知高能高潜的“和心力”为伴，为其提供一个长期的事业发展平台，使其发展为企业中高层核心管理者。招聘面向优秀高校的应届本科生、硕士研究生和博士研究生。招聘专业：土木工程、工程管理等。二、培训与发展我们坚持从最优秀的高校招聘未来的中高层核心管理人才，其目标是将毕业生培养成精通业务的管理者，擅于创新的变革者和强于整合的组织者。三年培养周期内，将参与集团主导的12-13次培训，7次评估，业务和人力双导师护航，适时轮岗提升，直至达成目标。1年成长为主管，2-4年成长为中层经理，5年成长为总监。三、薪酬福利行业极具竞争力的薪资，完善的福利保障待遇，享受养老、失业、生育、工伤、医疗等社会保险及住房公积金，办理人事档案、党组织关系接收手续，享受饭费补助、话费补助、住房补助等多项福利补贴。根据岗位级别的不同，还可享受：福利购房、福利购车、投资参股、学历式深造、外出学习考察等政策。                       
